,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DEP_DELAY
820,8.0,28.0,7.0,0,1300.0,1252.0,23.0,2.0,87.0,80.0,-8.0
821,5.0,19.0,4.0,8,1753.0,1815.0,19.0,5.0,91.0,105.0,22.0
823,4.0,28.0,4.0,1,2055.0,2056.0,9.0,6.0,80.0,80.0,1.0
825,3.0,7.0,1.0,7,1225.0,1223.0,15.0,6.0,157.0,158.0,-2.0
826,10.0,30.0,7.0,6,1445.0,1439.0,13.0,14.0,162.0,159.0,-6.0
828,4.0,17.0,7.0,1,1410.0,1409.0,11.0,7.0,240.0,224.0,-1.0
829,8.0,25.0,4.0,1,1550.0,1549.0,13.0,6.0,70.0,72.0,-1.0
830,9.0,14.0,3.0,3,1827.0,1831.0,10.0,6.0,80.0,71.0,4.0
832,4.0,8.0,5.0,7,1330.0,1350.0,13.0,9.0,139.0,126.0,20.0
833,8.0,29.0,1.0,10,1446.0,1444.0,11.0,5.0,49.0,42.0,-2.0
834,5.0,21.0,6.0,7,2035.0,2031.0,11.0,7.0,60.0,41.0,-4.0
835,3.0,26.0,6.0,8,1727.0,1722.0,17.0,4.0,89.0,82.0,-5.0
836,11.0,14.0,1.0,2,1550.0,1554.0,19.0,5.0,248.0,245.0,4.0
837,4.0,27.0,3.0,7,825.0,813.0,22.0,2.0,156.0,151.0,-12.0
838,10.0,15.0,6.0,7,738.0,735.0,11.0,10.0,157.0,135.0,-3.0
839,11.0,28.0,1.0,3,1939.0,1933.0,11.0,9.0,182.0,185.0,-6.0
840,8.0,17.0,3.0,6,1040.0,1039.0,13.0,2.0,110.0,92.0,-1.0
841,3.0,10.0,4.0,1,1940.0,1952.0,9.0,5.0,135.0,124.0,12.0
842,11.0,13.0,7.0,0,1535.0,1523.0,10.0,5.0,81.0,78.0,-12.0
845,10.0,18.0,2.0,2,1346.0,1342.0,18.0,9.0,123.0,119.0,-4.0
848,12.0,3.0,6.0,2,1241.0,1236.0,9.0,11.0,121.0,108.0,-5.0
849,2.0,22.0,1.0,2,1400.0,1355.0,15.0,10.0,96.0,84.0,-5.0
850,1.0,6.0,3.0,0,2117.0,2115.0,13.0,6.0,111.0,96.0,-2.0
851,5.0,11.0,3.0,2,1920.0,1940.0,28.0,4.0,117.0,115.0,20.0
854,2.0,19.0,5.0,1,1450.0,1509.0,11.0,4.0,85.0,84.0,19.0
855,5.0,19.0,4.0,1,1735.0,1741.0,15.0,6.0,90.0,96.0,6.0
856,3.0,4.0,5.0,0,1318.0,1313.0,15.0,8.0,87.0,92.0,-5.0
857,9.0,8.0,4.0,8,1105.0,1101.0,27.0,3.0,140.0,128.0,-4.0
859,12.0,31.0,6.0,6,910.0,906.0,12.0,9.0,144.0,127.0,-4.0
861,2.0,17.0,3.0,6,1936.0,1942.0,28.0,4.0,267.0,266.0,6.0
862,3.0,3.0,4.0,7,859.0,904.0,28.0,8.0,184.0,183.0,5.0
863,8.0,26.0,5.0,8,1610.0,1617.0,11.0,7.0,125.0,114.0,7.0
864,6.0,5.0,7.0,7,735.0,728.0,10.0,9.0,209.0,198.0,-7.0
865,6.0,28.0,2.0,2,1052.0,1103.0,15.0,5.0,127.0,114.0,11.0
866,3.0,9.0,3.0,0,605.0,600.0,17.0,9.0,120.0,111.0,-5.0
867,5.0,3.0,2.0,7,600.0,556.0,11.0,11.0,118.0,110.0,-4.0
869,1.0,24.0,7.0,2,1655.0,1708.0,13.0,4.0,129.0,113.0,13.0
870,9.0,10.0,6.0,7,710.0,710.0,20.0,11.0,144.0,160.0,0.0
871,4.0,27.0,3.0,7,1604.0,1605.0,15.0,7.0,80.0,63.0,1.0
872,1.0,15.0,5.0,2,2000.0,1955.0,19.0,7.0,72.0,58.0,-5.0
873,12.0,26.0,1.0,1,1805.0,1818.0,7.0,4.0,115.0,106.0,13.0
874,5.0,22.0,7.0,1,925.0,925.0,14.0,4.0,105.0,101.0,0.0
876,10.0,5.0,3.0,1,1430.0,1445.0,7.0,6.0,85.0,78.0,15.0
877,1.0,10.0,7.0,3,1652.0,1658.0,18.0,3.0,149.0,147.0,6.0
879,12.0,9.0,5.0,8,1345.0,1341.0,30.0,5.0,122.0,117.0,-4.0
880,12.0,20.0,2.0,0,1655.0,1703.0,14.0,7.0,159.0,139.0,8.0
881,4.0,24.0,7.0,5,2055.0,2056.0,11.0,6.0,95.0,77.0,1.0
883,3.0,30.0,3.0,1,1340.0,1336.0,10.0,5.0,110.0,99.0,-4.0
885,9.0,12.0,1.0,1,1020.0,1017.0,13.0,10.0,150.0,152.0,-3.0
886,11.0,3.0,4.0,7,825.0,824.0,22.0,6.0,123.0,126.0,-1.0
887,7.0,21.0,4.0,11,630.0,625.0,22.0,13.0,172.0,164.0,-5.0
888,8.0,5.0,5.0,1,1625.0,1633.0,9.0,11.0,60.0,61.0,8.0
